x,All,Economy_1,Economy_0,GENDER_1,GENDER_0,AGE_binary_1,AGE_binary_0,RELIGION_binary_1,RELIGION_binary_0,POL_binary_1,POL_binary_0,INC_1,INC_0,HINS_1,HINS_0,ALC_1,ALC_0,MJ_1,MJ_0,GB_1,GB_0,NIC_1,NIC_0
5,87.30,89.66,86.21,86.36,89.47,90,85,94.74,80.95,88.89,83.33,83.87,100,92.31,84.62,100,81.48,100,86.11,100,83.87,75,88.57
25,80.00,82.14,80.95,78.95,89.47,78.95,88.89,84.21,83.33,82.35,80,82.14,87.5,70,88.46,88.89,80.77,50,85.29,83.33,83.33,100,81.82
65,75.00,82.14,76.19,73.68,94.12,72.22,94.12,83.33,82.35,82.35,78.57,80.77,87.5,72.73,86.96,88.89,78.26,50,84.38,85.71,81.48,100,80.65
125,71.70,75.86,73.68,75,76.47,72.22,83.33,78.95,70.59,76.47,66.67,73.08,88.89,66.67,82.61,80,73.91,50,75.76,71.43,75,100,75
250,73.58,79.31,75,75,82.35,72.22,83.33,84.21,70.59,76.47,73.33,73.08,88.89,58.33,86.96,77.78,79.17,50,78.79,71.43,78.57,100,75
500,71.93,75,75,75,72.22,70.59,80,83.33,63.16,76.47,62.5,71.43,87.5,54.55,84,77.78,76,50,73.53,62.5,75,100,72.73
1500,62.26,55.56,76.19,73.68,64.71,75,63.16,72.22,64.71,60,87.5,68,66.67,50,77.27,75,62.5,100,65.62,83.33,64.29,100,64.52
3000,53.57,51.85,58.33,68.42,47.37,72.22,47.37,63.16,50,50,73.33,62.07,42.86,41.67,66.67,57.14,57.69,100,54.29,50,55.17,66.67,57.58
5500,43.64,48.28,40.91,55,33.33,50,42.11,52.63,38.89,52.94,43.75,48.28,42.86,41.67,50,50,48,100,39.39,50,44.83,66.67,45.45
17500,28.30,33.33,26.09,42.11,22.22,47.37,17.65,31.58,31.25,31.25,40,38.46,12.5,33.33,31.82,42.86,29.17,100,28.12,50,29.63,66.67,29.03
35000,24.53,25.93,27.27,33.33,21.05,33.33,16.67,33.33,22.22,31.25,31.25,26.92,22.22,25,26.09,37.5,20,100,21.21,66.67,17.24,33.33,25
70000,14.00,11.11,20,22.22,5.88,29.41,0,11.76,17.65,12.5,21.43,20,0,18.18,13.64,12.5,13.04,50,12.9,33.33,11.11,0,16.67
140000,13.73,7.41,25,16.67,11.11,23.53,5.56,11.76,16.67,18.75,13.33,19.23,0,18.18,13.04,0,16.67,0,15.62,16.67,14.29,0,16.13
280000,15.69,11.54,23.81,22.22,11.11,29.41,0,17.65,16.67,12.5,26.67,19.23,0,27.27,8.7,0,12.5,0,18.75,50,10.71,0,16.13
560000,15.22,12.5,20,16.67,13.33,25,0,20,11.76,13.33,21.43,16.67,0,25,8.7,0,13.64,0,17.24,33.33,12,0,14.29